epochs,CNN-32-32-32-Dense-32,CNN-64-64-64-Dense-64,Dense-128-128,Dense-128,Dense-32-32,Dense-32,Dense-64-64,Dense-64,Flatten,NCNN-128-128-128-Dense-128,NCNN-32-32-32-Dense-32,NCNN-64-64-64-Dense-64,NDense-128-128,NDense-128,NDense-32-32,NDense-32,NDense-64-64,NDense-64
0,0.9964668154716492,0.9940857887268066,0.9646492004394532,0.9751142263412476,0.9466377496719359,0.9376512169837952,0.9509197473526,0.9640539288520812,0.9075041413307191,0.9786474108695984,0.9985790252685548,0.999519944190979,0.9704865813255309,0.9624985456466676,0.9368255138397216,0.9316025972366332,0.9695648550987244,0.9555282592773438
1,0.9994239211082458,0.9988479018211364,0.9817389249801636,0.979569137096405,0.9603095650672911,0.958293318748474,0.9738661050796508,0.9768424034118652,0.9193901419639589,0.9948922991752625,0.9992895126342772,0.9903606176376344,0.9836398959159852,0.9718115329742432,0.9658204913139344,0.9521679282188416,0.9691232442855836,0.9671262502670288
2,0.9994047284126282,0.999308705329895,0.9771880507469176,0.98193097114563,0.9683935642242432,0.9640347361564636,0.9723683595657348,0.9802027940750122,0.9248626828193665,0.996313214302063,0.9995583295822144,0.9999231696128844,0.987537920475006,0.9797419309616088,0.9674718976020812,0.9599447250366212,0.9810284376144408,0.9778793454170228
3,0.9994815587997437,0.9983870387077332,0.983006238937378,0.9799915552139282,0.970697820186615,0.9645915627479552,0.9804908037185668,0.9796459078788756,0.9290295243263244,0.9994239211082458,0.9970237016677856,0.9996735453605652,0.987537920475006,0.9842159748077391,0.974979817867279,0.9633434414863586,0.981546938419342,0.9799915552139282
4,0.9995583295822144,0.9974845647811891,0.9817773103713988,0.9846000075340272,0.9735205173492432,0.9696033000946044,0.9813165068626404,0.983371078968048,0.9312569499015808,0.9998463988304138,0.9996351599693298,0.9992127418518066,0.9873651266098022,0.9828718304634094,0.9739237427711488,0.9655324816703796,0.9870770573616028,0.9803563952445984
5,0.9980990290641784,0.999078333377838,0.977380096912384,0.983582317829132,0.9748262166976928,0.964284360408783,0.9800875782966614,0.9833135008811952,0.9353854060173036,0.9998079538345336,0.999519944190979,0.9997503757476808,0.9895541071891784,0.9846384525299072,0.9767079949378968,0.9704673886299132,0.9863281846046448,0.9840623736381532
6,0.9965436458587646,0.999519944190979,0.9808364510536194,0.9843119978904724,0.9741925597190856,0.9688352346420288,0.9814124703407288,0.97851300239563,0.935884654521942,0.9998847842216492,0.9998463988304138,0.9999616146087646,0.9877875447273254,0.9862321615219116,0.9780137538909912,0.9714850783348083,0.9860785603523254,0.9846960306167604
7,0.9994239211082458,0.9962748289108276,0.9834479093551636,0.9879027605056764,0.9747686386108398,0.9729060530662536,0.983428716659546,0.9850416779518129,0.9360190629959106,0.9996543526649476,0.999942421913147,0.9997503757476808,0.9902645945549012,0.9879603385925292,0.9791274666786194,0.971888303756714,0.9884788393974304,0.9856177568435668
8,0.9994431138038636,0.9996159672737122,0.9833135008811952,0.987173080444336,0.974134922027588,0.9720419645309448,0.9847344160079956,0.9839471578598022,0.93626868724823,0.9988670945167542,0.9996351599693298,0.9998655915260316,0.9917623400688172,0.9878259301185608,0.981124460697174,0.9736549258232116,0.9899765849113464,0.9861170053482056
9,0.9994815587997437,0.999039888381958,0.9842159748077391,0.987595558166504,0.9738469123840332,0.9699681401252748,0.9821614027023317,0.9831022620201112,0.9372671842575072,0.9999231696128844,0.9999039769172668,0.9999808073043824,0.9907830357551576,0.9870386719703674,0.9804139733314514,0.9738277196884156,0.9896309375762941,0.985137701034546
